"ID","GENRE_NAME","GENRE_CODE","REMARKS","DELETE_FLG","VERSION","CREATED","MODIFIED","MODIFIED_BY"
"148","超心理学. 心霊研究","147","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"149","相法. 易占","148","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"150","応用心理学","149","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"151","倫理学. 道徳","150","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"152","倫理各論","151","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"153","家庭倫理. 性倫理","152","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"154","職業倫理","153","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"155","社会倫理［社会道徳］","154","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"156","国体論. 詔勅","155","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"157","武士道","156","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"158","報徳教. 石門心学","157","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"159","その他の特定主題","158","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"160","人生訓. 教訓","159","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"161","宗教","160","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"162","宗教学. 宗教思想","161","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"163","宗教史・事情","162","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"164","原始宗教. 宗教民族学","163","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"165","神話. 神話学","164","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"166","比較宗教","165","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"167","道教","166","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"168","イスラム","167","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"169","ヒンズー教. ジャイナ教","168","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"170","その他の宗教. 新興宗教","169","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"171","神道","170","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"172","神道思想. 神道説","171","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"173","神祇・神道史","172","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"174","神典","173","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"175","信仰録. 説教集","174","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"176","神社. 神職","175","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"177","祭祀","176","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"178","布教. 伝道","177","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"179","各教派. 教派神道","178","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"180","","179","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"181","仏教","180","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"182","仏教教理. 仏教哲学","181","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"183","仏教史","182","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"184","経典","183","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"185","法話・説教集","184","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"186","寺院. 僧職","185","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"187","仏会","186","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"188","布教. 伝道","187","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"189","各宗","188","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"190","","189","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"191","キリスト教","190","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"192","教義. キリスト教神学","191","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
